method,mean_f1,std_f1,min_f1,max_f1,wins,datasets
LassoNet,0.8545398622255418,0.08930226584809564,0.7368421052631579,0.9801980198019802,2,4
NIMO_MLP,0.8270819029820998,0.06587930129917337,0.717948717948718,0.8862321635171616,1,4
RF,0.8103943206763852,0.12632175657612676,0.6206896551724138,0.9748743718592964,0,4
NIMO_T,0.8099563159008987,0.10288017468416323,0.6428571428571429,0.9004739336492891,0,4
NN,0.8076257916000267,0.11302293604046958,0.6206896551724138,0.9183673469387756,0,4
Lasso,0.8013013466452792,0.11360876965517926,0.6111111111111112,0.8966854041480907,1,4
